"Sir Henry Bessemer","1813-1-19"," engineer-inventor"
"Paul Cezanne","1839-1-19"," painter"
"Alice Eastwood","1859-1-19","Alice Eastwood"
"Lanny Ross","1906-1-19"," singer"
"John Raitt","1917-1-19"," singer"
"Guy Madison","1922-1-19"," Actor (Computer Wizard and Jet over the Atlantic)"
"Jean Stapleton","1923-1-19"," Actress (Damn Yankees and Klute) in NYC"
"Fritz Weaver","1926-1-19"," Actor (Day of the Dolphin and Demon Seed)"
"Joe Schmidt","1932-1-19"," NFL linebacker (Detroit)"
"Tippi Hedren","1935-1-19"," in Minnesota (The Birds)"
"Janis Joplin","1943-1-19"," in Port Arthur Texas"
"Shelly Fabraes","1944-1-19"," in Santa Monica"
"Dolly Parton","1946-1-19"," country singer and bra buster in Tennessee"
"Ann Compton","1947-1-19"," TV news reporter"
"Linda Hayden","1951-1-19","Linda Hayden"
"Desi Arnez Jr","1953-1-19"," Actor"
"Charles III","1760-1-20"," king of Spain (1759-88)"
"Andre-Marie Ampre","1775-1-20"," founder of science of electromagnetism"
"Mischa Elman Violinist","1891-1-20","Mischa Elman Violinist"
"Nathan Birnbaum","1896-1-20"," (better known as George Burns)"
"Leon Ames","1903-1-20"," Actor"
"Federico Fellini","1920-1-20"," director (8« and Satyricon"
"Patricia Neal","1926-1-20"," Actress (Hud and The Subject Was Roses) in Packard Ky"
"Edwin E (Buzz) Aldrin Jr","1930-1-20"," US astronaut (Gemini 12 and Apollo 11)"
"Dorothy Provine","1937-1-20"," in Deadwood SD"
"John Naber","1956-1-20"," swimmer"
"Charles V","1338-1-21"," (The Wise) King of France (1364-80)"
"John Fitch","1743-1-21"," had a working steamboat years before Fulton"
"John C Fremont","1813-1-21"," map maker & explorer of western US"
"Horace Wells","1815-1-21"," dentist and pioneer in use of medical anethesia"
"John Cabell Breckinridge","1821-1-21"," (D) 14th US vice-president (1857-61)"
"Thomas (Stonewall) Jackson","1824-1-21"," Confederate gen"
"Roger Nash Baldwin","1884-1-21"," founder of American Civil Liberties Union"
"Wolfgang Kohler","1887-1-21"," Gestalt psychologist (The Mentality of Apes)"
"Barney Clark","1921-1-21"," 1st person to receive a permanent artificial heart"
"Paul Scofield","1922-1-21"," author"
"Benny Hill","1924-1-21"," British comedian"
"Telly Savalas","1924-1-21"," Actor "Who Loves Ya Baby?""
"Boris Shakhlin","1932-1-21"," Soviet Olympic gymnast"
"Jack Nicklaus","1940-1-21"," golfer"
"Placido Domingo","1941-1-21"," operatic tenor"
"Robby Bensen","1955-1-21"," Actor (One on One and Running Brave)"
"Ivan III (The Great)","1440-1-22"," grand prince of Russia"
